,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
8,8,Kapaa,US,22.0752,-159.319,84.18,68,100,10.36,overcast clouds,Sheraton Kauai Coconut Beach Resort
10,10,Hilo,US,19.7297,-155.09,83.28,81,100,9.22,overcast clouds,Hilo Hawaiian Hotel
11,11,Bengkulu,ID,-3.8004,102.2655,81.81,70,83,1.23,broken clouds,Grage Hotel Bengkulu
12,12,Rikitea,PF,-23.1203,-134.9692,71.13,69,5,18.23,clear sky,People ThankYou
13,13,Vaini,TO,-21.2,-175.2,77.16,83,75,12.66,broken clouds,Keleti Beach Resort
17,17,Salalah,OM,17.0151,54.0924,77.09,73,75,5.75,broken clouds,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
21,21,Butaritari,KI,3.0707,172.7902,82.26,73,13,15.1,few clouds,Isles Sunset Lodge
23,23,Sinnamary,GF,5.3833,-52.95,79.86,87,89,11.99,overcast clouds,ALETHEIA Appartement Sinnamary
28,28,Porto Novo,BJ,6.4965,2.6036,78.62,94,98,2.51,light rain,Tour Eiffel Hotel Benin
33,33,Portland,US,45.5234,-122.6762,78.84,54,20,6.91,smoke,Embassy Suites by Hilton Portland Downtown
37,37,Opelousas,US,30.5335,-92.0815,72.88,56,0,6.91,clear sky,"Holiday Inn Express & Suites Opelousas, an IHG Hotel"
39,39,Georgetown,MY,5.4112,100.3354,77.9,92,40,6.91,scattered clouds,Cititel Penang
42,42,Ponta Do Sol,PT,32.6667,-17.1,70.43,72,19,4.88,few clouds,Hotel do Campo
44,44,Mahibadhoo,MV,3.7833,72.9667,81.79,71,58,12.77,broken clouds,Omadhoo Inn
45,45,Tezu,IN,27.9167,96.1667,72.99,99,100,2.37,light rain,Circuit House
51,51,Natal,BR,-5.795,-35.2094,75.42,83,75,9.22,broken clouds,Villa Park Hotel | Natal
56,56,Tual,ID,-5.6667,132.75,83.95,74,93,14.58,overcast clouds,Grand Vilia Hotel
59,59,Souillac,MU,-20.5167,57.5167,70.18,73,40,8.05,scattered clouds,Shanti Maurice Resort & Spa
63,63,Zhuhai,CN,22.2769,113.5678,85.86,74,0,8.05,clear sky,珠海粤财假日酒店
68,68,Labuhan,ID,-6.8844,112.2051,82.99,73,100,7.61,overcast clouds,DoubleFAG
69,69,Cayenne,GF,4.9333,-52.3333,77.04,88,0,0.0,clear sky,Hôtel Le Dronmi
70,70,Avarua,CK,-21.2078,-159.775,77.05,65,20,13.8,few clouds,Paradise Inn
71,71,Ibra,OM,22.6906,58.5334,73.27,54,0,5.39,clear sky,مزرعة راحة النفوس المنزفة
74,74,Laguna,US,38.421,-121.4238,86.31,38,0,5.75,clear sky,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
75,75,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,40,8.05,light rain,Casa Tia Villa
