,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,44.71,70,75,31.07,broken clouds
1,Nikolskoye,RU,59.7035,30.7861,48.79,90,100,7.27,overcast clouds
2,Cap-Aux-Meules,CA,47.3821,-61.8597,46.45,76,0,10.36,clear sky
3,Ostrovnoy,RU,68.0531,39.5131,43.61,80,90,21.25,overcast clouds
4,Saint-Philippe,RE,-21.3585,55.7679,65.79,78,40,12.75,scattered clouds
5,Neverkino,RU,52.7854,46.7417,43.92,84,5,4.14,clear sky
6,Tiksi,RU,71.6872,128.8694,18.0,87,100,6.11,overcast clouds
7,Tshikapa,CD,-6.4167,20.8,67.15,94,99,2.13,overcast clouds
8,Kapaa,US,22.0752,-159.319,84.18,68,100,10.36,overcast clouds
9,Rolla,US,37.9514,-91.7713,49.51,53,0,0.0,clear sky
10,Hilo,US,19.7297,-155.09,83.28,81,100,9.22,overcast clouds
11,Bengkulu,ID,-3.8004,102.2655,81.81,70,83,1.23,broken clouds
12,Rikitea,PF,-23.1203,-134.9692,71.13,69,5,18.23,clear sky
13,Vaini,TO,-21.2,-175.2,77.16,83,75,12.66,broken clouds
14,Avera,US,33.194,-82.5271,66.54,68,0,2.75,clear sky
15,Pamplona,ES,42.8169,-1.6432,52.99,93,0,0.0,clear sky
16,Valparaiso,CL,-33.0393,-71.6273,56.84,58,0,5.75,clear sky
17,Salalah,OM,17.0151,54.0924,77.09,73,75,5.75,broken clouds
18,Mataura,NZ,-46.1927,168.8643,65.48,42,100,8.03,overcast clouds
19,Busselton,AU,-33.65,115.3333,63.0,68,100,11.14,overcast clouds
20,Prudentopolis,BR,-25.2131,-50.9778,53.67,93,0,1.28,clear sky
21,Butaritari,KI,3.0707,172.7902,82.26,73,13,15.1,few clouds
22,Taltal,CL,-25.4,-70.4833,59.14,81,14,2.57,few clouds
23,Sinnamary,GF,5.3833,-52.95,79.86,87,89,11.99,overcast clouds
24,Qaanaaq,GL,77.484,-69.3632,6.91,70,52,11.05,broken clouds
25,Nanortalik,GL,60.1432,-45.2371,32.41,57,100,2.95,overcast clouds
26,Poitiers,FR,46.5833,0.3333,52.25,55,0,4.61,clear sky
27,De-Kastri,RU,51.4667,140.7833,43.68,64,70,4.23,broken clouds
28,Porto Novo,BJ,6.4965,2.6036,78.62,94,98,2.51,light rain
29,Pisco,PE,-13.7,-76.2167,60.85,82,0,12.66,clear sky
30,Hobart,AU,-42.8794,147.3294,58.26,57,75,5.75,broken clouds
